id_policy,year,pol_no_claims_discount,pol_duration,pol_pay_freq,pol_payd,pol_usage,drv_sex1,drv_age1,drv_age_lic1,drv_drv2,vh_age,vh_fuel,vh_type,vh_speed,vh_value,vh_weight,population,town_surface_area,claim_amount
PL010055,3,0,24,Biannual,No,WorkPrivate,F,68,46,Yes,10,Diesel,Commercial,150,16335,1280,360,192.4,343.28
PL044909,1,0,22,Monthly,No,WorkPrivate,F,62,41,Yes,1,Gasoline,Tourism,174,13904,1260,90,156.9,343.31
PL048449,3,0,30,Yearly,No,WorkPrivate,F,61,42,No,7,Gasoline,Tourism,140,1113,393,460,158.9,343.34
PL006132,3,0,4,Monthly,No,WorkPrivate,F,50,30,No,3,Gasoline,Tourism,138,17126,1110,10,93.9,343.7
PL074712,1,0,9,Biannual,No,Retired,F,72,53,No,6,Gasoline,Tourism,140,12071,1117,410,78,343.8
PL071024,1,0,5,Yearly,No,Retired,M,71,42,No,11,Diesel,Commercial,155,18671,0,390,375.2,343.87
PL035658,1,0.225,7,Monthly,No,Professional,F,30,10,No,6,Gasoline,Tourism,182,12820,1036,750,98.5,343.9
PL009105,2,0,33,Biannual,No,Retired,M,78,54,No,13,Diesel,Tourism,182,12820,1036,20,85.2,343.9
PL031693,1,0,10,Monthly,No,WorkPrivate,F,45,24,No,2,Diesel,Tourism,170,11355,1080,270,108.2,343.91
PL082261,1,0.631,5,Monthly,Yes,Retired,F,82,60,Yes,8,Gasoline,Tourism,177,11490,950,370,75.4,343.99
PL087576,1,0,13,Yearly,No,Retired,M,76,54,No,20,Gasoline,Tourism,149,17233,1012,280,206.8,344.04
PL063961,2,0,9,Yearly,No,WorkPrivate,F,42,24,Yes,24,Gasoline,Tourism,159,9818,809,1830,745.4,344.25
PL093142,2,0,23,Biannual,No,WorkPrivate,F,53,34,No,10,Gasoline,Tourism,182,12820,1036,2290,177.8,344.28
PL051915,2,0,10,Biannual,No,WorkPrivate,F,43,25,No,7,Diesel,Tourism,200,22067,1291,390,212.2,344.29
PL056888,1,0,1,Monthly,No,Professional,F,62,40,No,2,Gasoline,Tourism,140,1113,393,290,107.4,344.34
PL027362,2,0,7,Monthly,No,WorkPrivate,M,46,27,No,4,Gasoline,Tourism,147,5622,1035,600,554.3,344.52
PL081517,2,0,18,Yearly,No,Retired,M,65,47,Yes,12,Diesel,Commercial,150,14159,1193,380,564.1,344.65
PL042824,1,0.018,14,Biannual,No,WorkPrivate,F,71,50,Yes,4,Gasoline,Tourism,179,16047,955,380,455.5,344.66
PL012940,1,0,27,Biannual,No,Retired,M,83,61,Yes,12,Gasoline,Tourism,158,13390,885,830,212.3,344.81
PL063046,1,0,4,Monthly,No,WorkPrivate,F,48,29,Yes,9,Gasoline,Tourism,182,12820,1036,130,64.3,344.83
