id_policy,year,pol_no_claims_discount,pol_duration,pol_pay_freq,pol_payd,pol_usage,drv_sex1,drv_age1,drv_age_lic1,drv_drv2,vh_age,vh_fuel,vh_type,vh_speed,vh_value,vh_weight,population,town_surface_area,claim_amount
PL068253,1,0,20,Monthly,No,Retired,M,65,5,No,10,Diesel,Tourism,182,12820,1036,30,94.4,129.6
PL061524,3,0,7,Yearly,No,Retired,M,68,49,Yes,11,Diesel,Tourism,175,23900,1285,1890,630.8,125.5
PL032789,3,0,22,Monthly,No,WorkPrivate,F,59,39,No,4,Diesel,Tourism,196,24750,1200,2550,57.2,112.04
PL032815,3,0,6,Monthly,No,WorkPrivate,F,62,44,No,10,Gasoline,Tourism,181,21171,1305,360,142.8,79.32
PL062011,2,0,30,Yearly,No,Retired,M,81,52,No,4,Gasoline,Tourism,200,19225,1310,2550,21.8,133.5
PL049960,2,0,27,Quarterly,No,Retired,M,83,63,No,12,Gasoline,Tourism,174,11040,1143,250,22.7,261.6
PL092529,2,0,13,Yearly,No,WorkPrivate,M,54,36,Yes,2,Diesel,Tourism,182,12820,1036,110,51.1,255.8
PL091447,2,0,4,Monthly,No,WorkPrivate,F,51,21,Yes,4,Diesel,Tourism,139,11985,1264,790,29.1,299.34
PL030564,3,0,12,Monthly,No,WorkPrivate,F,60,42,No,11,Diesel,Tourism,177,11490,950,50,110.8,102.37
PL013196,2,0,9,Monthly,No,WorkPrivate,M,48,30,No,6,Diesel,Tourism,200,31511,1576,60,61.9,77.77
PL017527,2,0,21,Monthly,No,WorkPrivate,M,51,33,Yes,13,Diesel,Tourism,200,19422,1315,390,33.4,257.32
PL060179,2,0.135,5,Biannual,No,WorkPrivate,F,64,45,No,13,Diesel,Tourism,218,26950,1590,160,212.1,333.04
PL093347,3,0,7,Biannual,No,WorkPrivate,F,65,40,No,8,Diesel,Tourism,214,33926,1376,2550,427.1,92.47
PL004509,1,0,2,Monthly,No,WorkPrivate,F,50,28,No,1,Gasoline,Tourism,170,11355,1080,380,167.9,75.88
PL084539,1,0,14,Biannual,No,WorkPrivate,F,51,30,Yes,10,Gasoline,Tourism,138,17126,1110,400,367.3,110.56
PL075262,1,0,3,Yearly,No,Retired,F,90,57,No,4,Diesel,Tourism,197,27313,1437,140,623.1,168.32
PL033696,3,0,6,Yearly,No,Professional,M,44,26,No,5,Diesel,Tourism,199,92010,1778,380,44.9,309.89
PL045941,1,0,11,Biannual,No,Retired,F,84,65,No,13,Diesel,Tourism,149,17233,1012,150,326.6,231.32
PL052786,1,0,6,Yearly,No,Retired,F,84,51,Yes,14,Gasoline,Tourism,155,9554,560,20,115.6,165.95
PL049150,3,0,10,Biannual,No,Retired,M,58,39,Yes,15,Diesel,Commercial,148,16702,1350,110,133.3,79.32
PL009885,2,0,21,Biannual,No,Professional,F,39,21,No,8,Diesel,Tourism,200,22067,1291,380,196.1,120.28
PL016135,1,0,5,Biannual,No,WorkPrivate,M,60,41,Yes,5,Diesel,Tourism,200,22067,1291,940,182,56.19
PL018592,2,0.306,9,Yearly,No,WorkPrivate,M,41,19,No,3,Gasoline,Tourism,174,13904,1260,250,46,97.47
PL059327,2,0,26,Biannual,No,Professional,M,66,41,No,20,Diesel,Tourism,181,21171,1305,360,146.9,255.29
PL005136,2,0,27,Monthly,No,WorkPrivate,F,52,31,No,7,Diesel,Tourism,170,13473,980,450,113.1,217.8
PL087198,1,0,2,Yearly,No,WorkPrivate,F,59,31,Yes,6,Diesel,Tourism,177,14048,1100,10,109.3,106.14
PL087550,3,0.119,12,Yearly,No,WorkPrivate,M,35,15,No,10,Diesel,Tourism,170,13473,980,2550,369.1,83.83
PL082990,1,0,11,Biannual,No,Professional,M,71,40,Yes,2,Diesel,Tourism,138,17126,1110,2550,53.9,273.83
PL038116,2,0.07,2,Monthly,No,WorkPrivate,F,33,15,Yes,6,Diesel,Tourism,182,12820,1036,1190,116.3,131.16
PL022768,3,0.225,4,Yearly,No,Retired,F,81,60,No,5,Diesel,Tourism,179,14921,990,1310,78,261.28
PL066650,1,0.28,14,Monthly,No,WorkPrivate,F,38,20,Yes,2,Diesel,Tourism,138,8644,1086,110,172.6,82.32
PL014278,3,0,16,Monthly,Yes,Retired,M,68,47,No,4,Diesel,Tourism,158,13390,885,60,194.4,46.72
PL000708,2,0,6,Monthly,No,WorkPrivate,M,56,36,Yes,13,Diesel,Tourism,200,31069,1473,380,292.5,127.6
PL095055,2,0,2,Yearly,No,Professional,M,39,21,No,3,Diesel,Commercial,160,29796,868,1070,40,40.59
PL075089,2,0.087,26,Yearly,No,Professional,M,74,47,No,12,Gasoline,Tourism,182,12820,1036,590,21.9,278.02
PL037933,3,0,9,Monthly,No,WorkPrivate,M,42,23,No,3,Gasoline,Tourism,171,11358,1044,170,224.1,326.35
PL019836,3,0,13,Biannual,No,WorkPrivate,M,50,31,Yes,6,Diesel,Commercial,150,16335,1280,520,288,292.6
PL057688,1,0.07,9,Monthly,No,WorkPrivate,F,43,24,No,2,Gasoline,Tourism,174,13904,1260,2550,171,200.47
PL058559,1,0.07,2,Yearly,No,WorkPrivate,F,33,15,Yes,1,Diesel,Tourism,173,21316,1209,70,81.3,106.14
PL057950,1,0,1,Yearly,No,Retired,M,80,61,Yes,1,Diesel,Tourism,200,28833,1501,390,438.2,117.67
PL021605,2,0.535,3,Biannual,No,Professional,M,42,23,No,4,Diesel,Commercial,150,14159,1193,290,276,262.07
PL033438,2,0,19,Yearly,No,Professional,M,58,40,Yes,3,Gasoline,Tourism,175,23900,1285,500,139.1,108.26
PL064157,3,0.28,14,Monthly,No,WorkPrivate,M,34,15,No,13,Gasoline,Tourism,200,19422,1315,300,80.4,106.19
PL023627,3,0.293,4,Yearly,No,Retired,F,72,41,No,3,Diesel,Tourism,200,19225,1310,220,38,102.37
PL057551,2,0,14,Yearly,No,WorkPrivate,M,38,19,No,7,Gasoline,Tourism,174,13904,1260,220,177,171.58
PL043337,2,0,19,Yearly,No,WorkPrivate,M,55,35,No,3,Gasoline,Tourism,147,5622,1035,1100,72,138.38
PL010571,1,0,3,Biannual,No,WorkPrivate,F,53,32,Yes,8,Gasoline,Tourism,140,1113,393,660,348.1,90.92
PL087909,1,0,4,Yearly,No,Professional,M,45,27,No,3,Diesel,Commercial,155,18671,0,330,57.5,296.2
PL082748,1,0,6,Yearly,No,WorkPrivate,F,58,39,No,5,Gasoline,Tourism,170,11129,927,400,89.5,56.19
PL062052,1,0,26,Biannual,No,Retired,M,78,37,Yes,1,Gasoline,Tourism,139,15368,980,740,99.8,119.37
PL048314,1,0,9,Yearly,No,Professional,M,71,53,Yes,3,Diesel,Commercial,139,11985,1264,50,87.9,297.29
PL001424,1,0,28,Biannual,No,Retired,M,57,36,No,8,Diesel,Commercial,148,16702,1350,20,137.7,119.25
PL002718,3,0,18,Monthly,No,WorkPrivate,M,51,28,Yes,4,Diesel,Tourism,200,19422,1315,240,149.7,102.37
PL004988,2,0,29,Biannual,No,WorkPrivate,M,57,36,Yes,4,Diesel,Commercial,155,34029,1725,110,149.5,96.2
PL028940,1,0.28,1,Biannual,No,WorkPrivate,M,41,23,No,2,Diesel,Tourism,168,18310,1538,390,66.5,0.02
PL077019,1,0.166,3,Yearly,No,WorkPrivate,M,35,15,No,2,Diesel,Tourism,170,14285,1108,2020,83.2,106.14
PL064833,1,0.07,3,Quarterly,No,WorkPrivate,F,46,23,No,2,Gasoline,Tourism,174,13904,1260,250,745.4,187.46
PL079087,1,0,25,Yearly,No,Retired,M,79,57,Yes,6,Diesel,Tourism,180,29728,1397,2550,240.9,148.9
PL070933,2,0,14,Yearly,No,WorkPrivate,F,56,36,No,6,Gasoline,Tourism,179,16047,955,2550,268.5,107.39
PL049660,1,0,10,Biannual,No,Retired,M,61,42,No,4,Diesel,Tourism,168,18310,1538,150,53.9,157.99
PL023680,3,0.119,3,Yearly,No,WorkPrivate,F,34,16,No,4,Gasoline,Tourism,182,12820,1036,390,670.1,192.82
PL064295,1,0,5,Monthly,No,Retired,M,59,10,No,1,Diesel,Tourism,175,23900,1285,910,130.4,82.32
PL036372,2,0,26,Monthly,No,Retired,M,56,36,No,3,Diesel,Tourism,202,22411,1330,470,264.5,91.66
PL041555,3,0.782,6,Monthly,No,WorkPrivate,F,27,4,No,5,Diesel,Tourism,158,13390,885,330,314.1,337.91
PL095020,2,0,12,Biannual,No,Professional,F,54,35,No,2,Gasoline,Tourism,174,13904,1260,940,125.2,296.53
PL089039,2,0,9,Yearly,No,Retired,M,70,51,No,6,Diesel,Tourism,221,29371,1369,30,29.3,62.21
PL093171,1,0.483,1,Biannual,No,Professional,M,26,4,No,10,Diesel,Commercial,145,23028,760,440,179,296.59
